Total Nacional;Comunidades y Ciudades Autónomas;Provincias;País de nacionalidad;Edad (hasta 100 y más);Sexo;Periodo;Total
Total Nacional;01 Andalucía;;Mauritania;Todas las edades;Total;1 de enero de 2019;1.320
Total Nacional;01 Andalucía;;Nigeria;Todas las edades;Total;1 de enero de 2019;4.962
Total Nacional;01 Andalucía;;República Democrática del Congo;Todas las edades;Total;1 de enero de 2019;44
Total Nacional;01 Andalucía;;Senegal;Todas las edades;Total;1 de enero de 2019;12.455
Total Nacional;01 Andalucía;;Sierra Leona;Todas las edades;Total;1 de enero de 2019;66
Total Nacional;01 Andalucía;;Sudáfrica;Todas las edades;Total;1 de enero de 2019;269
Total Nacional;01 Andalucía;;Togo;Todas las edades;Total;1 de enero de 2019;83
Total Nacional;01 Andalucía;;Túnez;Todas las edades;Total;1 de enero de 2019;239
Total Nacional;01 Andalucía;;Resto de Nacionalidades Africanas;Todas las edades;Total;1 de enero de 2019;529
Total Nacional;01 Andalucía;;De América;Todas las edades;Total;1 de enero de 2019;110.094
Total Nacional;01 Andalucía;;De Centro América y Caribe;Todas las edades;Total;1 de enero de 2019;19.658
Total Nacional;01 Andalucía;;Costa Rica;Todas las edades;Total;1 de enero de 2019;278
Total Nacional;01 Andalucía;;Cuba;Todas las edades;Total;1 de enero de 2019;3.973
Total Nacional;01 Andalucía;;Dominica;Todas las edades;Total;1 de enero de 2019;45
Total Nacional;01 Andalucía;;El Salvador;Todas las edades;Total;1 de enero de 2019;1.170
Total Nacional;01 Andalucía;;Guatemala;Todas las edades;Total;1 de enero de 2019;492
Total Nacional;01 Andalucía;;Honduras;Todas las edades;Total;1 de enero de 2019;4.070
Total Nacional;01 Andalucía;;Nicaragua;Todas las edades;Total;1 de enero de 2019;5.642
Total Nacional;01 Andalucía;;Panamá;Todas las edades;Total;1 de enero de 2019;198
Total Nacional;01 Andalucía;;República Dominicana;Todas las edades;Total;1 de enero de 2019;3.668
Total Nacional;01 Andalucía;;Resto de Nacionalidades de América Central y Caribe;Todas las edades;Total;1 de enero de 2019;122
Total Nacional;01 Andalucía;;De América del Norte;Todas las edades;Total;1 de enero de 2019;9.588
Total Nacional;01 Andalucía;;Canadá;Todas las edades;Total;1 de enero de 2019;790
Total Nacional;01 Andalucía;;Estados Unidos de América;Todas las edades;Total;1 de enero de 2019;6.292
Total Nacional;01 Andalucía;;México;Todas las edades;Total;1 de enero de 2019;2.506
Total Nacional;01 Andalucía;;De Sudamérica;Todas las edades;Total;1 de enero de 2019;80.848
Total Nacional;01 Andalucía;;Argentina;Todas las edades;Total;1 de enero de 2019;12.060
Total Nacional;01 Andalucía;;Bolivia;Todas las edades;Total;1 de enero de 2019;7.909
Total Nacional;01 Andalucía;;Brasil;Todas las edades;Total;1 de enero de 2019;9.053
Total Nacional;01 Andalucía;;Chile;Todas las edades;Total;1 de enero de 2019;1.890
Total Nacional;01 Andalucía;;Colombia;Todas las edades;Total;1 de enero de 2019;15.757
Total Nacional;01 Andalucía;;Ecuador;Todas las edades;Total;1 de enero de 2019;7.555
