Total Nacional;Comunidades y Ciudades Autónomas;Provincias;País de nacionalidad;Edad (hasta 100 y más);Sexo;Periodo;Total
Total Nacional;01 Andalucía;;Australia;Todas las edades;Total;1 de enero de 2014;276
Total Nacional;01 Andalucía;;Nueva Zelanda;Todas las edades;Total;1 de enero de 2014;76
Total Nacional;01 Andalucía;;Resto de Nacionalidades de Oceanía;Todas las edades;Total;1 de enero de 2014;4
Total Nacional;01 Andalucía;;Apátridas;Todas las edades;Total;1 de enero de 2014;79
Total Nacional;01 Andalucía;04 Almería;Extranjera;Todas las edades;Total;1 de enero de 2014;142.810
Total Nacional;01 Andalucía;04 Almería;Europa (sin España);Todas las edades;Total;1 de enero de 2014;69.702
Total Nacional;01 Andalucía;04 Almería;Alemania;Todas las edades;Total;1 de enero de 2014;2.065
Total Nacional;01 Andalucía;04 Almería;Austria;Todas las edades;Total;1 de enero de 2014;88
Total Nacional;01 Andalucía;04 Almería;Bélgica;Todas las edades;Total;1 de enero de 2014;764
Total Nacional;01 Andalucía;04 Almería;Bulgaria;Todas las edades;Total;1 de enero de 2014;3.473
Total Nacional;01 Andalucía;04 Almería;Chipre;Todas las edades;Total;1 de enero de 2014;1
Total Nacional;01 Andalucía;04 Almería;Croacia;Todas las edades;Total;1 de enero de 2014;4
Total Nacional;01 Andalucía;04 Almería;Dinamarca;Todas las edades;Total;1 de enero de 2014;70
Total Nacional;01 Andalucía;04 Almería;Eslovenia;Todas las edades;Total;1 de enero de 2014;6
Total Nacional;01 Andalucía;04 Almería;Estonia;Todas las edades;Total;1 de enero de 2014;12
Total Nacional;01 Andalucía;04 Almería;Finlandia;Todas las edades;Total;1 de enero de 2014;24
Total Nacional;01 Andalucía;04 Almería;Francia;Todas las edades;Total;1 de enero de 2014;1.676
Total Nacional;01 Andalucía;04 Almería;Grecia;Todas las edades;Total;1 de enero de 2014;18
Total Nacional;01 Andalucía;04 Almería;Hungría;Todas las edades;Total;1 de enero de 2014;179
Total Nacional;01 Andalucía;04 Almería;Irlanda;Todas las edades;Total;1 de enero de 2014;354
Total Nacional;01 Andalucía;04 Almería;Italia;Todas las edades;Total;1 de enero de 2014;1.656
Total Nacional;01 Andalucía;04 Almería;Letonia;Todas las edades;Total;1 de enero de 2014;38
Total Nacional;01 Andalucía;04 Almería;Lituania;Todas las edades;Total;1 de enero de 2014;3.431
Total Nacional;01 Andalucía;04 Almería;Luxemburgo;Todas las edades;Total;1 de enero de 2014;12
Total Nacional;01 Andalucía;04 Almería;Malta;Todas las edades;Total;1 de enero de 2014;2
Total Nacional;01 Andalucía;04 Almería;Países Bajos;Todas las edades;Total;1 de enero de 2014;806
Total Nacional;01 Andalucía;04 Almería;Polonia;Todas las edades;Total;1 de enero de 2014;626
Total Nacional;01 Andalucía;04 Almería;Portugal;Todas las edades;Total;1 de enero de 2014;640
Total Nacional;01 Andalucía;04 Almería;República Checa;Todas las edades;Total;1 de enero de 2014;95
Total Nacional;01 Andalucía;04 Almería;República Eslovaca;Todas las edades;Total;1 de enero de 2014;62
Total Nacional;01 Andalucía;04 Almería;Rumanía;Todas las edades;Total;1 de enero de 2014;31.175
Total Nacional;01 Andalucía;04 Almería;Suecia;Todas las edades;Total;1 de enero de 2014;113
Total Nacional;01 Andalucía;04 Almería;Albania;Todas las edades;Total;1 de enero de 2014;20
Total Nacional;01 Andalucía;04 Almería;Andorra;Todas las edades;Total;1 de enero de 2014;19
Total Nacional;01 Andalucía;04 Almería;Armenia;Todas las edades;Total;1 de enero de 2014;79
Total Nacional;01 Andalucía;04 Almería;Belarús;Todas las edades;Total;1 de enero de 2014;81
Total Nacional;01 Andalucía;04 Almería;Bosnia y Herzegovina;Todas las edades;Total;1 de enero de 2014;5
Total Nacional;01 Andalucía;04 Almería;Georgia;Todas las edades;Total;1 de enero de 2014;71
Total Nacional;01 Andalucía;04 Almería;Islandia;Todas las edades;Total;1 de enero de 2014;5
Total Nacional;01 Andalucía;04 Almería;Liechtenstein;Todas las edades;Total;1 de enero de 2014;0
Total Nacional;01 Andalucía;04 Almería;Macedonia del Norte;Todas las edades;Total;1 de enero de 2014;1
Total Nacional;01 Andalucía;04 Almería;Moldavia;Todas las edades;Total;1 de enero de 2014;185
Total Nacional;01 Andalucía;04 Almería;Noruega;Todas las edades;Total;1 de enero de 2014;91
Total Nacional;01 Andalucía;04 Almería;Reino Unido;Todas las edades;Total;1 de enero de 2014;16.981
Total Nacional;01 Andalucía;04 Almería;Rusia;Todas las edades;Total;1 de enero de 2014;3.357
Total Nacional;01 Andalucía;04 Almería;Serbia;Todas las edades;Total;1 de enero de 2014;14
Total Nacional;01 Andalucía;04 Almería;Serbia y Montenegro;Todas las edades;Total;1 de enero de 2014;""
Total Nacional;01 Andalucía;04 Almería;Suiza;Todas las edades;Total;1 de enero de 2014;145
Total Nacional;01 Andalucía;04 Almería;Turquía;Todas las edades;Total;1 de enero de 2014;19
Total Nacional;01 Andalucía;04 Almería;Ucrania;Todas las edades;Total;1 de enero de 2014;1.233
Total Nacional;01 Andalucía;04 Almería;Resto de Nacionalidades Europeas;Todas las edades;Total;1 de enero de 2014;6
Total Nacional;01 Andalucía;04 Almería;De Africa;Todas las edades;Total;1 de enero de 2014;57.753
