Sexo;Comunidades y ciudades autónomas de destino;Comunidades y ciudades autónomas de origen;Periodo;Total
Ambos sexos;16 País Vasco;04 Balears, Illes;2021;288
Ambos sexos;16 País Vasco;05 Canarias;2021;501
Ambos sexos;16 País Vasco;06 Cantabria;2021;1.385
Ambos sexos;16 País Vasco;07 Castilla y León;2021;1.780
Ambos sexos;16 País Vasco;08 Castilla - La Mancha;2021;316
Ambos sexos;16 País Vasco;09 Cataluña;2021;1.232
Ambos sexos;16 País Vasco;10 Comunitat Valenciana;2021;720
Ambos sexos;16 País Vasco;11 Extremadura;2021;281
Ambos sexos;16 País Vasco;12 Galicia;2021;540
Ambos sexos;16 País Vasco;13 Madrid, Comunidad de;2021;1.774
Ambos sexos;16 País Vasco;14 Murcia, Región de;2021;217
Ambos sexos;16 País Vasco;15 Navarra, Comunidad Foral de;2021;1.018
Ambos sexos;16 País Vasco;16 País Vasco;2021;""
Ambos sexos;16 País Vasco;17 Rioja, La;2021;579
Ambos sexos;16 País Vasco;18 Ceuta;2021;48
Ambos sexos;16 País Vasco;19 Melilla;2021;60
Ambos sexos;17 Rioja, La;Total Nacional;2021;3.771
Ambos sexos;17 Rioja, La;01 Andalucía;2021;254
Ambos sexos;17 Rioja, La;02 Aragón;2021;269
Ambos sexos;17 Rioja, La;03 Asturias, Principado de;2021;67
Ambos sexos;17 Rioja, La;04 Balears, Illes;2021;62
Ambos sexos;17 Rioja, La;05 Canarias;2021;77
Ambos sexos;17 Rioja, La;06 Cantabria;2021;103
Ambos sexos;17 Rioja, La;07 Castilla y León;2021;421
Ambos sexos;17 Rioja, La;08 Castilla - La Mancha;2021;101
Ambos sexos;17 Rioja, La;09 Cataluña;2021;271
Ambos sexos;17 Rioja, La;10 Comunitat Valenciana;2021;167
Ambos sexos;17 Rioja, La;11 Extremadura;2021;56
Ambos sexos;17 Rioja, La;12 Galicia;2021;85
Ambos sexos;17 Rioja, La;13 Madrid, Comunidad de;2021;416
Ambos sexos;17 Rioja, La;14 Murcia, Región de;2021;89
Ambos sexos;17 Rioja, La;15 Navarra, Comunidad Foral de;2021;580
Ambos sexos;17 Rioja, La;16 País Vasco;2021;735
Ambos sexos;17 Rioja, La;17 Rioja, La;2021;""
Ambos sexos;17 Rioja, La;18 Ceuta;2021;10
Ambos sexos;17 Rioja, La;19 Melilla;2021;8
Ambos sexos;18 Ceuta;Total Nacional;2021;1.453
Ambos sexos;18 Ceuta;01 Andalucía;2021;961
Ambos sexos;18 Ceuta;02 Aragón;2021;25
Ambos sexos;18 Ceuta;03 Asturias, Principado de;2021;2
Ambos sexos;18 Ceuta;04 Balears, Illes;2021;24
Ambos sexos;18 Ceuta;05 Canarias;2021;41
Ambos sexos;18 Ceuta;06 Cantabria;2021;4
Ambos sexos;18 Ceuta;07 Castilla y León;2021;30
Ambos sexos;18 Ceuta;08 Castilla - La Mancha;2021;46
Ambos sexos;18 Ceuta;09 Cataluña;2021;52
Ambos sexos;18 Ceuta;10 Comunitat Valenciana;2021;47
Ambos sexos;18 Ceuta;11 Extremadura;2021;36
Ambos sexos;18 Ceuta;12 Galicia;2021;27
Ambos sexos;18 Ceuta;13 Madrid, Comunidad de;2021;92
Ambos sexos;18 Ceuta;14 Murcia, Región de;2021;15
Ambos sexos;18 Ceuta;15 Navarra, Comunidad Foral de;2021;5
Ambos sexos;18 Ceuta;16 País Vasco;2021;12
Ambos sexos;18 Ceuta;17 Rioja, La;2021;6
Ambos sexos;18 Ceuta;18 Ceuta;2021;""
Ambos sexos;18 Ceuta;19 Melilla;2021;28
Ambos sexos;19 Melilla;Total Nacional;2021;1.750
Ambos sexos;19 Melilla;01 Andalucía;2021;910
Ambos sexos;19 Melilla;02 Aragón;2021;42
Ambos sexos;19 Melilla;03 Asturias, Principado de;2021;17
Ambos sexos;19 Melilla;04 Balears, Illes;2021;44
Ambos sexos;19 Melilla;05 Canarias;2021;132
Ambos sexos;19 Melilla;06 Cantabria;2021;11
Ambos sexos;19 Melilla;07 Castilla y León;2021;43
Ambos sexos;19 Melilla;08 Castilla - La Mancha;2021;50
Ambos sexos;19 Melilla;09 Cataluña;2021;78
